21,"{http://95.85.127.250:3002/21/OMsoAQRMimlRo9oQoElo.jpg, http://95.85.127.250:3002/21/RiZdgvSjThLJfVGzrJgR.jpg, http://95.85.127.250:3002/21/xDsHgbrkhnroOOG6Tbhj.jpg, http://95.85.127.250:3002/21/bSZvgpkqncKv4ZRVsYI0.jpg, http://95.85.127.250:3002/21/GGgRvqveB7T0tzXNVNYU.jpg, http://95.85.127.250:3002/21/x069WgZeJH7r9RVU9kKx.jpg}",Корпус для компьютера FSP CMT271A,FSP,http://95.85.127.250:3002/21/56eYSCCdO5.png,POC0000101,Корпус для компьютера FSP CMT271A (Игровой с окном / Типоразмер: Middle Tower / Закаленное стекло на боковой панели / Черный цвет) (POC0000101),940.0,2,1
22,"{http://95.85.127.250:3002/22/GQanHrd30WfBE0FF8aM3.jpg, http://95.85.127.250:3002/22/F31GQ40EA5key9xayHJH.jpg, http://95.85.127.250:3002/22/QWLExF7bwrp6GkxZHg7d.jpg, http://95.85.127.250:3002/22/PNsLjUkglNAcDIWsinPm.jpg, http://95.85.127.250:3002/22/lzxBgyCDnSn2bWnS1KOW.jpg}",Корпус для компьютера FSP CMT340,FSP,http://95.85.127.250:3002/22/56eYSCCdO5.png,POC0000064,Корпус для компьютера FSP CMT340 (Игровой с окном / Типоразмер: Middle Tower / 2 Закаленных стекла / Подсветка ARGB / Черный цвет) (POC0000064),1500.0,2,1
23,"{http://95.85.127.250:3002/23/PvG0eqIpTi8yvkN2joR6.jpg, http://95.85.127.250:3002/23/PZKFM3Rcdwitx29LNzZM.jpg, http://95.85.127.250:3002/23/qxJl9cysZxCqJUAdMZWL.jpg, http://95.85.127.250:3002/23/1oUlRqcfjO9M9DBjOVmK.jpg, http://95.85.127.250:3002/23/BQLaScEkzQ7EYb8DAN2l.jpg, http://95.85.127.250:3002/23/noSGXe0DB03OGLjPTjjm.jpg}",Корпус для компьютера FSP CMT510,FSP,http://95.85.127.250:3002/23/56eYSCCdO5.png,POC0000026,Корпус для компьютера FSP CMT510 (Игровой с окном / Типоразмер: Middle Tower / 3 Закаленных стекла / 4 Кулера с поддержкой RGB / Черный цвет) (POC0000026),1840.0,2,1
24,"{http://95.85.127.250:3002/24/BzCud8MEfh71r3QYg0FQ.jpg, http://95.85.127.250:3002/24/DYi62wHGGWydvJtx0HLo.jpg, http://95.85.127.250:3002/24/02I0NUrHOjLpRSiPxq1X.jpg, http://95.85.127.250:3002/24/tZ2i0eZUpvpuqnW4GF9G.jpg, http://95.85.127.250:3002/24/4scyfg5kbDYG5zkvwnzX.jpg, http://95.85.127.250:3002/24/0ZRPCH53X2zSpBznQo6d.jpg}",Корпус для компьютера FSP CMT510 PLUS,FSP,http://95.85.127.250:3002/24/56eYSCCdO5.png,POC0000071,Корпус для компьютера FSP CMT510 PLUS (Игровой с окном / Типоразмер: Middle Tower / 3 Закаленных стекла / Подсветка ARGB / 4 Кулера с поддержкой ARGB / Черный цвет) (POC0000071),1900.0,2,1
25,"{http://95.85.127.250:3002/25/hsTuXAJUsHQLavpUV11a.jpg, http://95.85.127.250:3002/25/va55hBPgUXCAq2XWup8I.jpg, http://95.85.127.250:3002/25/NTel904qL3QMcVTyVXS4.jpg, http://95.85.127.250:3002/25/WxEZnBkw6XpwiSt0XqwD.jpg, http://95.85.127.250:3002/25/39JiWGgR8yL1yUU3UOoR.jpg}",Корпус для компьютера GALAX REVOLUTION-01,GALAX,http://95.85.127.250:3002/25/uVpgdbdoiA.png,G-CG01AGBA4A0-GXLG,Корпус для компьютера GALAX REVOLUTION-01 (Игровой с окном / Типоразмер: Middle Tower / Закаленное стекло / 4 кулера с подсветкой ARGB / Черный цвет) (G-CG01AGBA4A0-GXLG),1420.0,2,1
26,"{http://95.85.127.250:3002/26/XkIzTcqQVQ1xjNVHZPl3.jpg, http://95.85.127.250:3002/26/DbxvET01BvZqx7Ih7U2v.jpg, http://95.85.127.250:3002/26/8krxr0UMxuxjpbbgPufy.jpg, http://95.85.127.250:3002/26/jW3Vi7OdtzxuudQDB2FK.jpg, http://95.85.127.250:3002/26/OtemzfbGzwzCsVlwdBCP.jpg, http://95.85.127.250:3002/26/GO0uc0004OoTBhXW4whE.jpg}",Корпус для компьютера GIGABYTE AORUS C300 GLASS,AORUS,http://95.85.127.250:3002/26/EJRL6wcuV9.png,GB-AC300G,Корпус для компьютера GIGABYTE AORUS C300 GLASS (Игровой с окном / Типоразмер: Middle Tower / С закаленным стеклом / Черный цвет) (GB-AC300G),3200.0,2,1
27,"{http://95.85.127.250:3002/27/tEwKQp6a9ipei9GVg7Wx.jpg, http://95.85.127.250:3002/27/B5S1oGW5JxEW8TP2FKIr.jpg, http://95.85.127.250:3002/27/ZOzCqq1Mzm5ka5gF6mTb.jpg, http://95.85.127.250:3002/27/ZDiPU1hHNq85TcFD1rCg.jpg, http://95.85.127.250:3002/27/zEu5Gh6ERZkexSG3FPfM.jpg}",Корпус для компьютера GIGABYTE C200,GIGABYTE,http://95.85.127.250:3002/27/VVkze7AN5K.png,GB-C200G,Корпус для компьютера GIGABYTE C200 (Игровой с окном) (Черный) (GB-C200G),1940.0,2,1
28,"{http://95.85.127.250:3002/28/15CO55BnawcWhFSVxsDC.jpg, http://95.85.127.250:3002/28/cBYw4v0Z4aarBcqVeF8P.jpg, http://95.85.127.250:3002/28/61uUDs7brjTWleIcT3Wl.jpg, http://95.85.127.250:3002/28/JBMr6ZgrC2ZFTsEPYgip.jpg}",Корпус для компьютера LIAN LI O11 DINAMIC (Белый цвет),LIAN LI,http://95.85.127.250:3002/28/mQ7eWjfERZ.png,G99.O11DW.00,Корпус для компьютера LIAN LI O11 DINAMIC (Игровой с окном / Типаразмер ATX / Белый цвет) (G99.O11DW.00),2700.0,2,1
29,"{http://95.85.127.250:3002/29/JI587uXQIzkSY6oor8Wc.jpg, http://95.85.127.250:3002/29/3ro2VzmPuGrG6O5Hchts.jpg, http://95.85.127.250:3002/29/2vHc9jdkgMMtsW8yWnLv.jpg, http://95.85.127.250:3002/29/33tawWe563yT1DQvoMHy.jpg, http://95.85.127.250:3002/29/pxnxdahYkahfTmVX19tC.jpg, http://95.85.127.250:3002/29/jM09tpnT6M2SL8Uhz9wz.jpg, http://95.85.127.250:3002/29/3ZtF4FHpZggxxrShmnuQ.jpg}",Корпус для компьютера NZXT H510 ELITE,NZXT,http://95.85.127.250:3002/29/D3NpLnSRoe.png,CA-H510E-W1,Корпус для компьютера NZXT H510 ELITE (Игровой с окном) (Белый - Черные вставки - Матовый) (CA-H510E-W10,3400.0,2,1
30,"{http://95.85.127.250:3002/30/XvlR5mhJTMUvsJzDbOMf.jpg, http://95.85.127.250:3002/30/MhQPXKbO3yH6GII8sbCw.jpg, http://95.85.127.250:3002/30/IBr8Gb7qXviQPK8EKIy7.jpg, http://95.85.127.250:3002/30/Ttc1INf3Aj7GPo8pKnwJ.jpg, http://95.85.127.250:3002/30/zKnUYCLh3zhCe1l7j2kY.jpg, http://95.85.127.250:3002/30/AIBymJsL7FmQldAIjOx7.jpg, http://95.85.127.250:3002/30/5gBKeaGdRpDWqFB88SFy.jpg}",Корпус для компьютера NZXT H710i,NZXT,http://95.85.127.250:3002/30/D3NpLnSRoe.png,CA-H710i-W1,Корпус для компьютера NZXT H710i (Игровой с окном) (Матово-белый цвет),4000.0,2,1
